original_english	augmented_spanglish	original_spanish
"The phrase ""washing one's hands of"" something, means declaring one's unwillingness to take responsibility for the thing or share complicity in it."	"el frase ""washing one's manos of"" something, medios declarando one's unwillingness to tomar responsabilidad para la thing or compartir complicidad in it."	"La frase ""lavarse las manos"" es una declaración de no querer hacerse cargo de algo o compartir la complicidad de algo."
It originates from the bible passage in Matthew where Pontius Pilate washed his hands of the decision to crucify Jesus Christ, but has become a phrase with a much wider usage in some English communities.	It origina de el biblia pasaje in mateo where poncio pilato lavada su manos of la decision to crucificar jesús Christ, sino tiene convertirse a frase con a much wider uso in algunas espanol communities.	Tiene su origen en el pasaje bíblico de Mateo en el que Poncio Pilato se lavó las manos ante la decisión de crucificar a Jesucristo, pero se ha convertido en una frase de uso mucho más amplio en algunas comunidades inglesas.
In Shakespeare's Macbeth, Lady Macbeth begins to compulsively wash her hands in an attempt to cleanse an imagined stain, representing her guilty conscience regarding crimes she had committed and induced her husband to commit.	In Shakespeare's Macbeth, señora macbeth comienza to compulsivamente wash ella manos in an tentativa to limpiar an imaginaba stain, representar her culpables consciencia regarding delitos ella tuvo comprometida y inducidas su marido to commit.	En Macbeth de Shakespeare, Lady Macbeth comienza a lavarse las manos de manera compulsiva en un intento por limpiar una mancha imaginaria, que representa su conciencia de culpabilidad sobre los crímenes que había cometido y que había inducido a su marido a cometer.
It has also been found that people, after having recalled or contemplated unethical acts, tend to wash hands more often than others, and tend to value hand washing equipment more.	It has also been found that people, after having recalled or contemplated unethical acts, tend to wash hands more often than others, and tend to value hand washing equipment more.	También se ha comprobado que después de recordar o reflexionar sobre acciones no éticas, las personas tienden a lavarse las manos más a menudo que otros y tienden a valorar más los elementos para el lavado de manos.
"Furthermore, those who are allowed to wash their hands after such a contemplation are less likely to engage in other ""cleansing"" compensatory actions, such as volunteering."	"Furthermore, those who are allowed to wash their hands after such a contemplation are less likely to engage in other ""cleansing"" compensatory actions, such as volunteering."	"Además, aquellas personas que tienen permitido lavarse las manos después de tal reflexión, tienen menos probabilidad de involucrarse en otras acciones ""de limpieza"" compensatorias, como un voluntariado."
Religions prescribe hand washing for both hygienic and symbolic purposes.Symbolic hand washing, using water but no soap to wash hands, is a part of ritual hand washing featured in many religions, including Bahá'í Faith, Hinduism, tevilah and netilat yadayim in Judaism, Lavabo in Christianity, and Wudhu in Islam.Religions also prescribe hygienic hand washing, especially after certain actions.	religiones prescribir mano lavado para tanto higiénicos y simbólica purposes.Symbolic mano washing, utilizando agua pero no jabones to lavado hands, is a part of ritual mano lavar destacado in muchos religions, incluidos Bahá'í Faith, Hinduism, tevilah y netilat yadayim in Judaism, Lavabo in Christianity, y Wudhu in Islam.Religions además prescribir higiene mano washing, especialmente despues ciertos actions.	Las religiones recomiendan el lavado de manos con fines higiénicos y simbólicos. El lavado de manos simbólico, con agua, pero sin jabón, forma parte del lavado de manos ritual en muchas religiones, como el bahaísmo, el hinduismo, la tevilá y el netilat yadayim en el judaísmo, el lavatorio en el cristianismo y el wudu en el islam. Las religiones también recomiendan el lavado de manos higiénico, en particular después de ciertas acciones.
Hinduism, Judaism and Islam mandate washing of hands after using the toilet.	Hinduism, Judaism and Islam mandate washing of hands after using the toilet.	El hinduismo, el judaísmo y el islam obligan a lavarse las manos después de ir al baño.
And, Hinduism, Buddhism, Sikhism, Judaism and Islam mandate washing of hands before and after every meal.	And, Hinduism, Buddhism, Sikhism, Judaism and Islam mandate washing of hands before and after every meal.	Y el hinduismo, el budismo, el sijismo, el judaísmo y el islam obligan a lavarse las manos antes y después de cada comida.
Impact of the 2019–20 coronavirus pandemic on education	impact of la 2019–20 coronavirus pandemia on enseñanza	Impacto de la pandemia de coronavirus 2019-2020 en la educación
The 2019–20 coronavirus pandemic has affected educational systems worldwide, leading to the widespread closures of schools and universities.	The 2019–20 coronavirus pandemic has affected educational systems worldwide, leading to the widespread closures of schools and universities.	La pandemia de coronavirus 2019-2020 ha afectado a los sistemas educativos de todo el mundo, lo que provocó el cierre generalizado de escuelas y universidades.
As of 8 April 2020, approximately 1.716 billion learners have been affected due to school closures in response to COVID-19.	As of 8 April 2020, approximately 1.716 billion learners have been affected due to school closures in response to COVID-19.	Hasta el 8 de abril de 2020, había alrededor de 1716 millones de estudiantes afectados por el cierre de las escuelas en el marco de la COVID-19.
According to UNESCO monitoring, 188 countries have implemented nationwide closures and 5 have implemented local closures, impacting about 99.4% of the world's student population.	According to UNESCO monitoring, 188 countries have implemented nationwide closures and 5 have implemented local closures, impacting about 99.4% of the world's student population.	Según el seguimiento de la UNESCO, 188 países implementaron cierres a nivel nacional y 5 a nivel local, lo que afecta al 99,4 % de la población estudiantil mundial.
On 23 March 2020, Cambridge International Examinations (CIE) released a statement announcing the cancellation of Cambridge IGCSE, Cambridge O Level, Cambridge International AS &amp; amp; A Level, Cambridge AICE Diploma, and Cambridge Pre-U examinations for the May/June 2020 series across all countries.	On 23 March 2020, Cambridge International Examinations (CIE) released a statement announcing the cancellation of Cambridge IGCSE, Cambridge O Level, Cambridge International AS &amp; amp; A Level, Cambridge AICE Diploma, and Cambridge Pre-U examinations for the May/June 2020 series across all countries.	El 23 de marzo de 2020, Cambridge International Examinations (CIE) publicó un comunicado en el que se anunció la cancelación de los exámenes Cambridge IGCSE, Cambridge O Level, Cambridge International AS &amp; A Level, Cambridge AICE Diploma y Cambridge Pre-U para la convocatoria de mayo y junio de 2020 en todos los países.
International Baccalaureate exams have also been cancelled.School closures impact not only students, teachers, and families, but have far-reaching economic and societal consequences.	internacional bachillerato exámenes tener además sido cancelled.School cierres impact no solo students, teachers, y families, sino tienen far-reaching económicos y societal consequences.	También se han cancelado los exámenes del Bachillerato Internacional. El cierre de escuelas no solo afecta a los estudiantes, los docentes y las familias, sino que tiene consecuencias económicas y sociales de amplio alcance.
School closures in response to COVID-19 have shed light on various social and economic issues, including student debt, digital learning, food insecurity, and homelessness, as well as access to childcare, health care, housing, internet, and disability services.	escuela cierres in respuesta to COVID-19 tienen cobertizo ligera on varias sociales y económico issues, incluidos alumna debt, digitales learning, alimentos insecurity, y homelessness, as pues as acceda to childcare, salud care, housing, internet, y incapacidad services.	El cierre de escuelas en respuesta a la COVID-19 ha puesto de manifiesto varias problemáticas sociales y económicas, entre las que se incluyen la deuda de los estudiantes, el aprendizaje digital, la inseguridad alimentaria, la falta de hogar, así como el acceso al cuidado infantil, a la atención de la salud, a la vivienda, a internet y a los servicios para personas con discapacidad.
The impact was more severe for disadvantaged children and their families, causing interrupted learning, compromised nutrition, childcare problems, and consequent economic cost to families who could not work.In response to school closures, UNESCO recommended the use of distance learning programmes and open educational applications and platforms that schools and teachers can use to reach learners remotely and limit the disruption of education.	los repercusión fue mas severa para desfavorecida ninos y su families, causando interrumpió learning, comprometida nutrition, childcare problems, y consecuente economico coste to familia quien podría no work.In repuesta to colegio closures, unesco recomendó la uso of distancia aprendiendo programas y abrir educativa aplicaciones y plataformas eso escuela y docentes lata usar to reach learners remotamente y limite las interrupción of education.	El impacto fue más grave para los niños en situación de desventaja y sus familias y provocó una interrupción del aprendizaje, una alimentación comprometida, problemas con el cuidado de los niños y, en consecuencia, un costo económico para las familias que no pudieron trabajar. En respuesta al cierre de escuelas, la UNESCO recomendó el uso de programas de educación a distancia y de aplicaciones y plataformas educativas abiertas que las escuelas y los docentes pueden usar para llegar a los alumnos de manera remota y reducir la interrupción de la educación.
Efforts to stem the spread of COVID-19 through non-pharmaceutical interventions and preventive measures such as social-distancing and self-isolation have prompted the widespread closure of primary, secondary, and tertiary schooling in over 100 countries.Previous outbreaks of infectious diseases have prompted widespread school closings around the world, with varying levels of effectiveness.	Efforts to stem the spread of COVID-19 through non-pharmaceutical interventions and preventive measures such as social-distancing and self-isolation have prompted the widespread closure of primary, secondary, and tertiary schooling in over 100 countries.Previous outbreaks of infectious diseases have prompted widespread school closings around the world, with varying levels of effectiveness.	Los esfuerzos por frenar la propagación de la COVID-19 mediante intervenciones no farmacéuticas y medidas preventivas como el distanciamiento físico y el autoaislamiento han dado lugar al cierre generalizado de las escuelas primarias, secundarias y terciarias en más de 100 países. Brotes de enfermedades infecciosas anteriores provocaron el cierre generalizado de escuelas alrededor del mundo, con distintos niveles de efectividad.
Mathematical modelling has shown that transmission of an outbreak may be delayed by closing schools.	Mathematical modelling has shown that transmission of an outbreak may be delayed by closing schools.	Los modelos matemáticos han demostrado que el cierre de escuelas puede retrasar la transmisión de una epidemia.
However, effectiveness depends on the contacts children maintain outside of school.	However, efectividad dependen on la contactos infancia mantener afuera of school.	Sin embargo, la eficacia depende del contacto que los niños mantienen fuera de la escuela.
School closures may be effective when enacted promptly.	escuela cierres mayo be efectivos cuándo promulgado promptly.	El cierre de escuelas puede ser eficaz cuando se ejecuta de inmediato.
If school closures occur late relative to an outbreak, they are less effective and may not have any impact at all.	If school closures occur late relative to an outbreak, they are less effective and may not have any impact at all.	Si el cierre de escuelas se establece tarde con relación al brote, es menos eficaz y puede que no genere ningún impacto.
Additionally, in some cases, the reopening of schools after a period of closure has resulted in increased infection rates.	Additionally, in some cases, el reabrir of escuela despues a periodo of clausura ha resulted in aumentada infecciones rates.	Además, en algunos casos, la reapertura de escuelas después de un tiempo de cierre ha dado lugar a un aumento en los índices de infección.
As closures tend to occur concurrently with other interventions such as public gathering bans, it can be difficult to measure the specific impact of school closures.During the 1918-1919 influenza pandemic in the United States, school closures and public gathering bans were associated with lower total mortality rates.	As closures tend to occur concurrently with other interventions such as public gathering bans, it can be difficult to measure the specific impact of school closures.During the 1918-1919 influenza pandemic in the United States, school closures and public gathering bans were associated with lower total mortality rates.	Dado que los cierres tienden a establecerse simultáneamente con otras intervenciones, como la prohibición de reuniones públicas, puede ser difícil medir el impacto específico del cierre de las escuelas. En la pandemia de gripe de 1918 y 1919 en Estados Unidos, el cierre de escuelas y la prohibición de reuniones públicas se asociaron con tasas de mortalidad totales más bajas.
Cities that implemented such interventions earlier had greater delays in reaching peak mortality rates.	ciudades que implementada tales intervenciones anteriormente tenía greater retrasos in alcanzando pico mortalidad rates.	Las ciudades que implementaron esas intervenciones con anterioridad tardaron más en alcanzar las tasas de mortalidad máximas.
Schools closed for a median duration of 4 weeks according to a study of 43 US cities' response to the Spanish Flu.	escuelas cerrado para a mediana duración of 4 semanas segun to a estudia of 43 US cities' repuesta to los española Flu.	Según un estudio sobre la respuesta a la gripe española de 43 ciudades estadounidenses, las escuelas estuvieron cerradas, en promedio, durante 4 semanas.
School closures were shown to reduce morbidity from the Asian flu by 90% during the 1957–58 outbreak, and up to 50% in controlling influenza in the US, 2004–2008.Multiple countries successfully slowed the spread of infection through school closures during the 2009 H1N1 Flu pandemic.	School closures were shown to reduce morbidity from the Asian flu by 90% during the 1957–58 outbreak, and up to 50% in controlling influenza in the US, 2004–2008.Multiple countries successfully slowed the spread of infection through school closures during the 2009 H1N1 Flu pandemic.	Se demostró que el cierre de las escuelas redujo la morbilidad de la gripe asiática en un 90 % durante el brote de 1957 y 1958 y en hasta un 50 % en el control de la gripe de 2004 a 2008 en Estados Unidos. Múltiples países lograron frenar la propagación de la infección con el cierre de escuelas durante la pandemia de gripe H1N1 en 2009.
School closures in the city of Oita, Japan, were found to have successfully decreased the number of infected students at the peak of infection; however closing schools was not found to have significantly decreased the total number of infected students.	escuela cierres in las ciudad of Oita, Japan, estaban encontradas to tener satisfactoriamente disminuida las numero of infectada estudiantes at los pico of infection; however cerrar colegios estaba not encontrada to tengan significativamente disminuido las totales número of infectados students.	Se comprobó que el cierre de escuelas en la ciudad de Oita, Japón, redujo con éxito la cantidad de estudiantes infectados durante el pico de la infección; sin embargo, no se comprobó que el cierre de escuelas haya reducido significativamente la cantidad total de estudiantes infectados.
Mandatory school closures and other social distancing measures were associated with a 29% to 37% reduction in influenza transmission rates.	obligatoria colegio cierres y otros sociales distanciamiento medidas eran associated con a 29% to 37% reducción in gripe transmision rates.	El cierre obligatorio de escuelas y otras medidas de distanciamiento social se asociaron a una reducción del 29 % al 37 % de las tasas de transmisión de la gripe.
Early school closures in the United States delayed the peak of the 2009 H1N1 Flu pandemic.	temprano escuela cierres in el unidos estados retraso las pico of los 2009 H1N1 gripe pandemic.	El cierre anticipado de escuelas en Estados Unidos retrasó el pico de la pandemia de gripe H1N1 de 2009.
"Despite the overall success of closing schools, a study of school closures in Michigan found that ""district level reactive school closures were ineffective.""During the swine flu outbreak in 2009 in the UK, in an article titled ""Closure of schools during an influenza pandemic"" published in the Lancet Infectious Diseases, a group of epidemiologists endorsed the closure of schools in order to interrupt the course of the infection, slow further spread and buy time to research and produce a vaccine."	"apesar los globalmente exito of cerrar schools, a estudia of escuela cierres in michigan encontradas eso ""district nivel reactiva escuela cierres estaban ineffective.""During los cerdos gripe brote in 2009 in los UK, in an artículo titulado ""Closure of escuelas durante an gripe pandemic"" publicado in los lancet infecciosa Diseases, a grupo of epidemiologists respaldado el cierre of colegios in encargo to interrumpa los rumbo of la infection, lento further difundir y compre time to investigacion y producir a vaccine."	"A pesar del éxito general del cierre de las escuelas, un estudio sobre el cierre de escuelas en Michigan reveló que ""los cierres reactivos de escuelas a nivel de distrito no fueron eficaces"". Durante el brote de gripe porcina en 2009 en el Reino Unido, en un artículo titulado ""Cierre de escuelas durante una pandemia de gripe"" que se publicó en la revista Lancet Infectious Diseases, un grupo de epidemiólogos respaldó el cierre de escuelas con el fin de interrumpir el avance de la infección, frenar la propagación y ganar tiempo para investigar y desarrollar una vacuna."
Having studied previous influenza pandemics including the 1918 flu pandemic, the influenza pandemic of 1957 and the 1968 flu pandemic, they reported on the economic and workforce effect school closure would have, particularly with a large percentage of doctors and nurses being women, of whom half had children under the age of 16.	habiendo estudiado previo gripe pandemias incluyendo el 1918 gripe pandemic, las influenza pandemia of 1957 y los 1968 gripe pandemic, ellos denunciado on el económica y workforce efecto colegio cierre would have, especialmente con a grande porcentaje of doctores y enfermeros siendo women, of whom mitad había infancia debajo la edad of 16.	Tras estudiar pandemias de gripe anteriores, incluidas la de 1918, la de 1957 y la de 1968, informaron sobre las consecuencias económicas y laborales que tendría el cierre de escuelas, en particular con un gran porcentaje de médicas y enfermeras, de las cuales la mitad tenía hijos menores de 16 años.
They also looked at the dynamics of the spread of influenza in France during French school holidays and noted that cases of flu dropped when schools closed and re-emerged when they re-opened.	They also looked at the dynamics of the spread of influenza in France during French school holidays and noted that cases of flu dropped when schools closed and re-emerged when they re-opened.	También analizaron la dinámica de la propagación de la gripe en Francia durante las vacaciones escolares francesas y observaron que los casos de gripe disminuían cuando las escuelas estaban cerradas y reaparecían cuando volvían a abrir.
They noted that when teachers in Israel went on strike during the flu season of 1999–2000, visits to doctors and the number of respiratory infections dropped by more than a fifth and more than two fifths respectively.	ellas observado que cuando profesorado in israelí went on huelga durante los gripe temporada of 1999–2000, visitas to doctores y la numero of respiración infección dropped by más than a quinta y mas than dos quintos respectively.	Observaron que cuando los docentes de Israel hicieron paro durante la temporada de gripe de 1999 y 2000, las consultas a los médicos y la cantidad de infecciones respiratorias disminuyeron en más de una quinta parte y en más de dos quintas partes, respectivamente.
For schools and childcare facilities, the U.S. Centers for Disease Control and Prevention recommends short-term closure to clean or disinfect if an infected person has been in a school building regardless of community spread.	para colegios y childcare facilities, la U.S. centra para enfermedad controlar y prevención recomienda short-term clausura to limpieza or desinfectar if an infectados persona tiene sido in a colegio edificio independientemente of comunidad spread.	En el caso de las escuelas y los centros de cuidado infantil, los Centros para el Control y la Prevención de Enfermedades de Estados Unidos recomiendan el cierre a corto plazo para limpiar o desinfectar si una persona infectada estuvo en el edificio escolar, independientemente de la transmisión comunitaria.
When there is minimal to moderate community transmission, social distancing strategies can be implemented such as cancelling field trips, assemblies, and other large gatherings such as physical education or choir classes or meals in a cafeteria, increasing the space between desks, staggering arrival and dismissal times, limiting nonessential visitors, and using a separate health office location for children with flu-like symptoms.	cuándo ahí is mínima to moderar comunidad transmission, sociales distanciamiento estrategias lata be implementada tal as cancelling field trips, assemblies, y otro grande gatherings tal as físicas enseñanza or coro clases or comidas in a cafeteria, aumentar el espaciales entre desks, staggering llegada y despido times, limitar nonessential visitors, y usando a separados salud office emplazamiento para niñez con flu-like symptoms.	Cuando la transmisión comunitaria es mínima o moderada, se pueden implementar estrategias de distanciamiento social, como cancelar las excursiones, las asambleas y otras reuniones masivas, como las clases de educación física o de coro o las comidas en el comedor, aumentar el espacio entre los pupitres, escalonar los horarios de entrada y salida, limitar las visitas que no sean esenciales y usar un lugar separado para la sala de salud para los niños que tengan síntomas gripales.
When there is substantial transmission in the local community, in addition to social distancing strategies, extended school dismissals may be considered.	When there is substantial transmission in the local community, in addition to social distancing strategies, extended school dismissals may be considered.	Cuando la transmisión en la comunidad local es significativa, además de las estrategias de distanciamiento social, se puede considerar la prolongación de la suspensión de clases.
On 26 January, China instituted measures to contain the COVID-19 outbreak which included extending the Spring Festival holiday to contain the outbreak.	On 26 January, China instituted measures to contain the COVID-19 outbreak which included extending the Spring Festival holiday to contain the outbreak.	El 26 de enero, China implementó medidas para contener el brote de COVID-19, entre las que se incluyó extender el feriado del Festival de la Primavera.
Universities and schools around the country closed.	universidades y escuela alrededor la país closed.	Las universidades y escuelas de todo el país cerraron.
On 23 February, Iran's Ministry of Health announced the closure of universities, higher educational institutions and schools in several cities and provinces.	On 23 February, Iran's Ministry of Health announced the closure of universities, higher educational institutions and schools in several cities and provinces.	El 23 de febrero, el Ministerio de Salud de Irán anunció el cierre de universidades, instituciones de enseñanza de nivel superior y escuelas en varias ciudades y provincias.
On 3 March, UNESCO released the first global numbers on school closures and affected students.	On 3 March, UNESCO released the first global numbers on school closures and affected students.	El 3 de marzo, la UNESCO publicó las primeras cifras mundiales sobre el cierre de escuelas y los estudiantes afectados.
It reported that 13 countries had enacted preventive measures including the temporary closure of schools and universities, impacting 290.5 million students around the world.	It denunciado que 13 países tuvo promulgado preventiva medidas incluido la temporalmente cierre of escuela y universities, impactando 290.5 millón alumnos around la world.	Se informó que 13 países habían implementado medidas preventivas, entre las que se incluía el cierre temporal de escuelas y universidades, lo que afectó a 290,5 millones de estudiantes en todo el mundo.
In reaction, UNESCO called on countries to support affected students and families and facilitate large-scale inclusive distance learning programmes.	In reaction, UNESCO called on countries to support affected students and families and facilitate large-scale inclusive distance learning programmes.	La respuesta de la UNESCO fue pedir a los países que apoyaran a los estudiantes afectados y sus familias y facilitaran los programas de enseñanza a distancia inclusivos y a gran escala.
On 4 March, the Italian government ordered the full closure of all schools and universities nationwide as Italy reached 100 deaths.	On 4 March, el italiano gobierno ordenó la full cierre of todas escuelas y universidades nationwide as italia alcanzado 100 deaths.	El 4 de marzo, el Gobierno de Italia ordenó el cierre total de todas las escuelas y universidades a nivel nacional, cuando Italia alcanzó la cifra de 100 muertos.
In doing so, Italy became one of 22 countries on three continents which had announced or implemented school closures.	In haciendo so, italia became uno of 22 países on tres continentes cual tuvo anunció or implementado colegio closures.	Con esta medida, Italia se convirtió en uno de los 22 países de tres continentes que habían anunciado o implementado el cierre de escuelas.
On 5 March, the majority of learners affected by COVID-19 emergency measures were located in China, with 233 million learners affected, followed by Japan at 16.5 million and Iran at 14.5 million.	On 5 March, the majority of learners affected by COVID-19 emergency measures were located in China, with 233 million learners affected, followed by Japan at 16.5 million and Iran at 14.5 million.	El 5 de marzo, la mayoría de los alumnos afectados por las medidas de emergencia de la COVID-19 era de China, con 233 millones de estudiantes afectados, seguidos por Japón con 16,5 millones e Irán con 14,5 millones.
"By 10 March, one in five students worldwide was ""staying away from school due to the COVID-19 crisis"" while another one in four was barred from higher education institutions."	"By 10 March, one in five estudiantes mundial fue ""staying away de colegio debido to los COVID-19 crisis"" mientras another uno in four fue barred desde superior enseñanza institutions."	"Para el 10 de marzo, uno de cada cinco estudiantes de todo el mundo ""no estaba yendo a la escuela por la crisis de la COVID-19"", mientras que uno de cada cuatro se encontraba imposibilitado de asistir a instituciones de enseñanza de nivel superior."
On 13 March, governments in 49 countries announced or implemented school closures, including 39 countries which closed schools nationwide and 22 countries with localised school closures.	On 13 March, gobiernos in 49 paises anunciados or implementado colegio closures, incluyendo 39 paises cuál cerrado escuelas nationwide y 22 países con localizada escuela closures.	El 13 de marzo, los gobiernos de 49 países anunciaron o implementaron el cierre de las escuelas, entre los que se incluyeron 39 países que cerraron las escuelas a nivel nacional y 22 países en los que el cierre fue localizado.
By 16 March, this figure increased from 49 to 73 countries according to UNESCO.	By 16 March, esta figura aumentado desde 49 to 73 paises segun to UNESCO.	Para el 16 de marzo, esta cifra aumentó de 49 a 73 países según la UNESCO.
By 19 March, 50% of students worldwide were affected by school closures, corresponding to nationwide closures in 102 countries and local closures in 11 countries affecting 850 million children and youth.	By 19 March, 50% of students worldwide were affected by school closures, corresponding to nationwide closures in 102 countries and local closures in 11 countries affecting 850 million children and youth.	Para el 19 de marzo, el cierre de escuelas había afectado al 50 % de los estudiantes de todo el mundo, lo que corresponde a cierres a nivel nacional en 102 países y cierres a nivel local en 11 países, que impactaron sobre 850 millones de niños y jóvenes.
By 20 March, over 70% of the world's learners were impacted by closures, with 124 country-wide school closures.	By 20 March, over 70% of el world's learners eran impactó by closures, con 124 country-wide escuela closures.	Para el 20 de marzo, los cierres habían afectado a más del 70 % de los alumnos del mundo, con cierres de escuelas en 124 países.
On 23 March, all Nigerian school were found to have been closed down by Nigerian government, markets as well as companies were closed down and children were forbidden by parents to step out of their homes.	On 23 March, all Nigerian school were found to have been closed down by Nigerian government, markets as well as companies were closed down and children were forbidden by parents to step out of their homes.	El 23 de marzo, se supo que el Gobierno de Nigeria había cerrado todas las escuelas, todos los mercados y las empresas estaban cerrados y los padres prohibieron a sus hijos salir de sus casas.
On 26 March, all New Zealand schools and universities have been closed down across the country.	On 26 March, all nuevos zelandia escuela y universidades tengan sido cerrados down across el country.	El 26 de marzo, se cerraron todas las escuelas y universidades de Nueva Zelanda.
The government has imposed a two-week holiday, allowing schools to transition to forms of distant teaching as soon as possible.	los gobierno ha impuestas a two-week holiday, permitiendo colegios to transición to formularios of distantes enseñar as pronto as possible.	El Gobierno dispuso vacaciones por dos semanas, lo que permitió a las escuelas hacer la transición a formas de educación a distancia lo más pronto posible.
Universities have closed for one week, but resumed with online teaching afterwards.	universidades tienen cerrados para uno week, pero reanudado con conectados enseñar afterwards.	Las universidades cerraron durante una semana, pero después reanudaron la actividad con enseñanza en línea.
Other school services remain open, but teaching is restricted to distant learning.	otros escuela servicios permanezca open, pero enseñanza is restringida to lejanos learning.	Otros servicios escolares continúan abiertos, pero las clases se limitan a la educación a distancia.
By 27 March, nearly 90 percent of the world's student population was out of class.	By 27 March, casi 90 porcentaje of la world's estudiantes población estaba afuera of class.	Para el 27 de marzo, casi el 90 % de la población estudiantil mundial no asistía a clases.
Regions with schools remaining open included Taiwan, Singapore, Australia, Sweden, and some U.S. states.	Regions with schools remaining open included Taiwan, Singapore, Australia, Sweden, and some U.S. states.	Las regiones con escuelas que permanecieron abiertas incluyeron a Taiwán, Singapur, Australia, Suecia y algunos estados de Estados Unidos.
By 29 March, more than 1.5 billion children and other students were affected by nationwide school closures.	By 29 March, more than 1.5 billion children and other students were affected by nationwide school closures.	Para el 29 de marzo, el cierre de escuelas a nivel nacional había afectado a más de 1500 millones de niños y otros estudiantes.
Others were disrupted by localized closures.	otros eran disrupted by localizado closures.	Otros se vieron afectados por cierres locales.
Until April 6, holidays were extended in all secondary schools of Turkmenistan.	hasta abril 6, festivos fueron extendidas in all secundarias colegios of Turkmenistan.	Hasta el 6 de abril, las vacaciones se habían extendido en todas las escuelas secundarias de Turkmenistán.
An order signed by the Ministry of Education as a preventative measure aims to prevent the spread of respiratory diseases in connection with the WHO coronavirus pandemic.	An order signed by the Ministry of Education as a preventative measure aims to prevent the spread of respiratory diseases in connection with the WHO coronavirus pandemic.	Una orden firmada por el Ministerio de Educación como medida preventiva tiene el objetivo de prevenir la propagación de enfermedades respiratorias relacionadas con la pandemia de coronavirus declarada por la OMS.
10 countries have localised schools closures, UNESCO estimates 473,933,356 learners are potentially at risk (pre-primary to upper-secondary education) and 77,938,904 learners are potentially at risk in tertiary education.	10 countries have localised schools closures, UNESCO estimates 473,933,356 learners are potentially at risk (pre-primary to upper-secondary education) and 77,938,904 learners are potentially at risk in tertiary education.	En 10 países existe el cierre de escuelas localizado. La UNESCO estima que 473 933 356 estudiantes se encuentran potencialmente en situación de riesgo (desde el nivel preescolar hasta el nivel secundario superior) y que 77 938 904 alumnos se encuentran potencialmente en situación de riesgo en el nivel terciario.
Note: Figures correspond to total number of learners enrolled at pre-primary, primary, lower-secondary, and upper-secondary levels of education [ISCED levels 0 to 3], as well as at tertiary education levels [ISCED levels 5 to 8] who could be affected should localised closures become countrywide.	Note: figuras corresponden to total numero of learners matriculados at pre-primary, primary, lower-secondary, y upper-secondary niveles of educacion [ISCED niveles 0 to 3], as pues as at terciario enseñanza niveles [ISCED niveles 5 to 8] quién podría be afectado deberia localizada cierres convertirse countrywide.	Nota: Las cifras corresponden a la cantidad total de estudiantes matriculados en los niveles de educación preescolar, primaria, primer y segundo ciclo de educación secundaria (niveles 0 a 3 de la CINE), así como en los niveles de educación terciaria (niveles 5 a 8 de la CINE), que podrían verse afectados si los cierres localizados se transformaran en cierres a escala nacional.
Enrolment figures based on latest UNESCO Institute of Statistics data.	Enrolment figures based on latest UNESCO Institute of Statistics data.	Las cifras de matriculación se calculan sobre la base de los datos más recientes del Instituto de Estadística de la UNESCO.
School closures in response to the COVID-19 pandemic have shed a light on numerous issues affecting access to education, as well as broader socio-economic issues.	School closures in response to the COVID-19 pandemic have shed a light on numerous issues affecting access to education, as well as broader socio-economic issues.	El cierre de escuelas en respuesta a la pandemia de COVID-19 ha puesto de manifiesto numerosas cuestiones que repercuten en el acceso a la educación, así como problemáticas socioeconómicas más amplias.
As of March 12, more than 370 million children and youth are not attending school because of temporary or indefinite country wide school closures mandated by governments in an attempt to slow the spread of COVID-19.	As of marchen 12, más than 370 millones infancia y juventud están no asistir escuela porque of temporal or indefinida país amplia colegio cierres mandated by gobiernos in an tentativa to despacito los difundir of COVID-19.	Al 12 de marzo, más de 370 millones de niños y jóvenes no están asistiendo a clases por el cierre temporal o indefinido de escuelas a nivel nacional dispuesto por los gobiernos en un intento por frenar la propagación de la COVID-19.
As of 29 March, nearly 90% of the world's learners were impacted by closures.Even when school closures are temporary, it carries high social and economic costs.	As of 29 March, casi 90% of el world's learners fueron impactado by closures.Even cuándo escuela cierres son temporary, it lleva elevada sociales y economico costs.	Al 29 de marzo, los cierres habían afectado a casi el 90 % de los estudiantes del mundo.
The disruptions they cause affect people across communities, but their impact is more severe for disadvantaged children and their families including interrupted learning, compromised nutrition, childcare problems and consequent economic cost to families who cannot work.	The disruptions they cause affect people across communities, but their impact is more severe for disadvantaged children and their families including interrupted learning, compromised nutrition, childcare problems and consequent economic cost to families who cannot work.	Los problemas que causan afectan a personas de todas las comunidades, pero el impacto es más fuerte en los niños en desventaja y sus familias, lo que incluye un aprendizaje interrumpido, una alimentación comprometida, problemas en el cuidado de los niños y, en consecuencia, un costo económico para las familias que no pueden trabajar.
Working parents are more likely to miss work when schools close in order to take care of their children, incurring wage loss in many instances and negatively impacting productivity.	trabajando progenitores are más probables to srta trabaje when colegios cierre in ordenar to tome care of sus children, incurring salario perdida in muchos instancias y negativamente impactando productivity.	Los padres que trabajan tienen más probabilidades de faltar al trabajo cuando las escuelas cierran para ocuparse de sus hijos, lo que supone una pérdida de ingresos en muchos casos y repercute negativamente en la productividad.
Localised school closures place burdens on schools as parents and officials redirect children to schools that are open.	localizada escuela cierres place cargas on escuela as padres y oficiales redirigir niños to colegios que están open.	El cierre localizado de escuelas implica una presión sobre las escuelas, ya que los padres y los funcionarios trasladan a los niños a las escuelas que están abiertas.
