original_english	augmented_chinglish	original_chinese
Formal education — as opposed to informal education or non-formal education — tends to refer to schools, colleges, universities and training institutions.	正式 學歷 — as opposed to informal 教育 or non-formal 教育 — tends to refer to schools, colleges, 大學 和 培訓 institutions.	与非正式教育或非正规教育相反，正规教育通常是指学校、学院、大学和培训机构。
A 1974 report by the World Bank defined formal education as the following:Formal education: the hierarchically structured, chronologically graded ‘education system’, running from primary school through the university and including, in addition to general academic studies, a variety of specialised programmes and institutions for full-time technical and professional training.The majority of data collected on the number of students and learners impacted by COVID-19 has been calculated based on the closure of formal education systems.	A 1974 檢舉 by the 世界 銀行 defined 正式 學歷 as the following:Formal education: the hierarchically structured, chronologically graded ‘education system’, 跑步 來自 初級 上學 通過 the 大學 還有 including, in addition to general 學術 studies, a variety of specialised 方案 和 機構 for full-time 技術 而且 專業 training.The 多數 of 資料 收集 on the 數字 of 學生 而且 learners impacted by COVID-19 has been calculated 基於 on the closure of 正式 教育 systems.	世界银行在1974年发布的报告对正规教育的定义如下：正规教育：从小学到大学期间具备结构分层并逐渐升级的“教育系统”，除普遍学术学习外，还包括针对全日制技术和职业培训提供的各种专业课程和机构。针对受到COVID-19影响的学生和学习者人数，所收集到的大部分相关数据都基于已关闭的正规教育系统。
The UNESCO Institute for Statistics provides figures on students impacted by COVID-19 corresponding to the number of learners enrolled at pre-primary, primary, lower-secondary, and upper-secondary levels of education [ISCED levels 0 to 3], as well as at tertiary education levels [ISCED levels 5 to 8].	The UNESCO 研究所 for 統計數字 provides 數字 on 學生 impacted by COVID-19 對應 to the 數 of learners enrolled at pre-primary, primary, lower-secondary, 還有 upper-secondary 關卡 of 教育 [ISCED 關卡 0 to 3], as well as at tertiary 學歷 關卡 [ISCED 關卡 5 to 8].	联合国教科文组织统计研究所提供了受COVID-19影响的学生数据，该数据与接受学前、小学、初中和高中教育[ISCED 0-3级]以及接受高等教育[ISCED 5-8级]的学生人数相对应。
Early childhood educational programmes are usually designed for children below the age of 3 and may refer to preschools, nursery schools, kindergartens, and some day care programmes.	提前 童年 教育 方案 are 通常 designed for 兒童 下方 the 年齡 of 3 還有 五月份 refer to preschools, 幼兒園 schools, kindergartens, 而且 有些 day 關心 programmes.	幼儿教育课程通常是为3岁以下的儿童设计的，可指幼托机构、托儿所、幼儿园和一些日托课程。
While many primary and secondary schools have closed around the world due to COVID-19, measures impacting early childhood educational programmes have varied.	While 許多 初級 而且 secondary 學校 have closed 圍繞 the 世界 到期 to COVID-19, 措施 impacting 提前 童年 教育 方案 have varied.	受COVID-19影响，尽管全世界有许多中小学校相继关闭，但针对幼儿教育课程所采取的措施各不相同。
In some countries and territories, preschools and day cares are considered necessary services and have not closed in tandem with broader school closure measures.In the United States, the Washington State Department of Children, Youth, and Families encouraged child care and early learning centres to stay open.	In 一些 各國 和 territories, preschools 而且 日 cares are considered 必要 服務業 而且 have not closed in 串聯 with 廣義 上學 closure measures.In the United States, the 華盛頓 國家 部門 of Children, Youth, 還有 家庭 encouraged 孩子 護理 而且 提早 學習 centres to 留下來 open.	在一些国家和地区，幼托机构和日托机构被视为不可或缺的服务，所以并未随着各个学校普遍停课而关闭。在美国，华盛顿州儿童、青年和家庭部门鼓励继续开放儿童托管机构和早教中心。
Some school districts may offer alternative child care options, prioritising the children of first responders and healthcare workers.	Some school districts may offer alternative child care options, prioritising the children of first responders and healthcare workers.	一些学区可能会提供其他儿童托管方式，并优先接收急救人员和医护人员的子女。
The governor of Maryland mandated that specific child care services remain open for the children of emergency personnel while Washington State and California have left it to the discretion of care providers.	The governor of Maryland mandated that specific child care services remain open for the children of emergency personnel while Washington State and California have left it to the discretion of care providers.	马里兰州州长规定，特定的儿童托管服务仍向急救人员的子女开放，而华盛顿州和加利福尼亚州则将决定权交给托管机构负责人。
California Governor Gavin Newsom explained his state's position, saying “We need our child care facilities, our daycare centers, to operate to absorb the impact of these school closures.”	加州 省長 Gavin Newsom explained 他的 state's position, saying “We 需求 our 兒童 關心 facilities, our 托兒所 centers, to operate to 吸收 the 影響 of 這些 學校 closures.”	加利福尼亚州州长Gavin Newsom解释了其所在州的立场，他说：“我们需要继续开放儿童托管机构和日托中心，以降低学校关闭所造成的影响。”
"Colorado has encouraged the development of ""tool kits"" for parents to use at home to emulate the lessons children would have received in their early learning programmes.In Japan, Prime Minister Shinzo Abe closed all schools throughout the country until April 8, however, children's daycare facilities were excluded."	"Colorado has encouraged the 發展 of ""tool kits"" for 父母親 to 利用 at 住家 to emulate the lessons 兒童 would have received in their 及早 學 programmes.In Japan, Prime 部長 Shinzo 阿部 closed 所有 學校 throughout the 國家 直到 四月份 8, however, children's 托兒所 設施 were excluded."	科罗拉多州鼓励为家长开发“工具包”，让家长能够在家模拟子女在早期学习课程中要学习的课程。在日本，首相安倍晋三关闭了全国所有的学校，这一措施一直持续到4月8日，但儿童日托机构依然正常开放。
In early March, five adults associated with a nursing facility for preschool children in Kobe tested positive for coronavirus.	In 及早 March, 五個 成年人 associated with a 護理 設施 for 幼兒園 兒童 in 神戶 tested 積極 for coronavirus.	3月初，神户一家学龄前儿童护理机构的5名成年人被检测出冠状病毒阳性。
After testing over one hundred children at the facility, a preschool student was found to be carrying the virus.	後 測驗 over 一 百 兒童 at the facility, a 幼兒園 學生 was 發現 to be 攜帶 the virus.	对该机构100多名儿童进行检测后，发现一名学龄前儿童携带该病毒。
Primary or elementary education typically consists of the first four to seven years of formal education.	初級 or 初等 學歷 typically consists of the 首先 四 to 七個 歲月 of 正式 education.	小学教育通常包含前4年至7年的正规教育。
The International Baccalaureate Organization (IBO) canceled the examinations for its Diploma Programme and Career-related Programme candidates scheduled between 30 April and 22 May 2020, reportedly affecting more than 200,000 students worldwide.	The 國際 Baccalaureate 組織 (IBO) canceled the 考試 for its 文憑 方案 而且 Career-related 方案 候選人 排定 between 30 四月份 和 22 may 2020, reportedly affecting 多 than 200,000 學生 worldwide.	国际文凭组织(IBO)取消了原定于2020年4月30日至2020年5月22日举行的文凭课程和与职业相关的课程考试，据报道，这一举措已影响到全球20多万名考生。
"The IBO stated that it would award candidates their diplomas or certificates based on ""their coursework"" and ""the established assessment expertise, rigor, and quality control already built into the programme."""	"The IBO stated that it would award candidates their diplomas or certificates based on ""their coursework"" and ""the established assessment expertise, rigor, and quality control already built into the programme."""	IBO表示，它将根据“考生的课程作业”和“已完成的评估的测验结果、严格标准和已纳入课程的质量控制”向考生授予文凭或证书。
Tertiary education, also known as higher education, refers to the non-compulsory educational levels that follow completion of secondary school or high school.	Tertiary education, also known as higher education, refers to the non-compulsory educational levels that follow completion of secondary school or high school.	高等教育是指在完成初中或高中学业后接受的非义务教育阶段的教育。
Tertiary education is normally taken to include undergraduate and postgraduate education, as well as vocational education and training.	Tertiary 教育 is 通常 taken to 包括 本科 而且 研究生 education, as well as vocational 教育 和 training.	高等教育通常包括本科和研究生教育，职业教育和培训也包括在内。
Individuals who complete tertiary education generally receive certificates, diplomas, or academic degrees.	Individuals 誰 完成 tertiary 學歷 一般 接收 certificates, diplomas, or 學術 degrees.	完成高等教育的个人通常会获得证书、文凭或学位。
Undergraduate education is education conducted after secondary education and prior to post-graduate education, for which the learner is typically awarded a bachelor's degree.	本科 教育 is 教育 conducted 之後 secondary 學歷 還有 prior to post-graduate education, for which the learner is typically 授予 a bachelor's degree.	本科教育是在中学教育完成后、研究生教育开始前接受的教育，完成本科教育的学生通常会获得学士学位。
"Students enrolled in higher education programmes at colleges, universities, and community colleges are often refereed to in countries such as United States as ""college students.""The closure of colleges and universities has widespread implications for students, faculty, administrators, and the institutions themselves."	"學生 enrolled in 較高 教育 方案 at colleges, universities, 還有 community 學院 are 經常 refereed to in 國家 such as United 國家 as ""college students.""The closure of 學院 和 大學 has 廣泛 implications for students, faculty, administrators, 還有 the 機構 themselves."	在美国等一些国家/地区，在学院、大学和社区学院学习高等教育课程的学生通常被称为“大学生”。关闭学院和大学对学生、教员、管理人员和学校本身都造成了广泛影响。
Colleges and universities across the United States have been called upon to issue refunds to students for the cost of tuition and room and board.	學院 而且 大學 across the United 國家 have been called upon to issue 退款 to 學生 for the 成本 of 補習 而且 房 和 board.	民众呼吁美国各地的学院和大学退还学生的学费和食宿费。
"In the United States of America, Colleges and universities operate as ""mini-cities"" which generate significant revenue for cities, states, and regions."	"In the United 國家 of America, 學院 和 大學 operate as ""mini-cities"" which 生成 significant 收益 for cities, states, 還有 regions."	在美国，学院和大学是作为“迷你城市”运作的，可为各城市、各州和各地区带来可观的收入。
For example, Princeton University contributed $1.58 billion USD to the New Jersey economy and students spent about $60 million in off-campus spending.	For example, Princeton University contributed $1.58 billion USD to the New Jersey economy and students spent about $60 million in off-campus spending.	例如，普林斯顿大学为新泽西州的经济贡献了15.8亿美元，学生在校外约消费6000万美元。
"College and university closures have a domino effect on economies with far-reaching implications.According to Linda Bilmes of the Harvard Kennedy School, ""local hotels, restaurants, cafes, shops, car rental agencies and other local businesses obtain a significant share of annual revenue from graduation week and college reunions..."	"大學 還有 大學 closures have a 骨牌 效果 on economies with far-reaching implications.According to linda Bilmes of the 哈佛 肯尼迪 School, ""local hotels, restaurants, cafes, shops, 車 租金 agencies 還有 其他 本地 企業 obtain a significant 分享 of annual 稅收 從 畢業 週 還有 大學 reunions..."	关闭大学和学院对经济造成了连锁效应，影响深远。哈佛肯尼迪学院的Linda Bilmes表示，“在本地酒店、餐厅、咖啡馆、商店、汽车租赁机构和其他本地企业的年收入中，毕业周和大学聚会举办期间获得的收入占了相当大的比例...
"these communities will suffer a lot of economic damage if the colleges remain closed at that time.""Small towns which rely on college students to support the local economy and provide labour to local businesses are especially impacted by school closures and the exodus of students from campus."	"這些 communities 威爾 受苦 a lot of 經濟 損傷 if the 學院 remain closed at 那個 time.""Small 城鎮 which rely on 學院 學生 to 支援 the 當地 經濟 還有 提供 勞動力 to 局部 企業 are 尤其是 impacted by 學校 closures 和 the exodus of 學生 從 campus."	到那时，如果高校继续关闭，这些社区将遭受巨大的经济损失。”对于依靠大学生来带动当地经济并向本地企业提供劳动力的小城镇，学校的关闭和大批学生的离校会给它们带来巨大影响。
In Ithaca, New York, Cornell University students spent at least $4 million a week in Tompkins county.	In Ithaca, 新 York, Cornell 大學 學生 花費 at least $4 百萬 a 周 in tompkins county.	在纽约伊萨卡，康奈尔大学的学生每周在汤普金斯县至少消费400万美元。
"In the wake of Cornell's decision to keep students home following spring break and transition to virtual instruction, the Mayor of Ithaca called for ""immediate and forceful federal action — we will see a horrific economic impact as a result of Cornell University closing."""	"In the wake of Cornell's decision to keep students home following spring break and transition to virtual instruction, the Mayor of Ithaca called for ""immediate and forceful federal action — we will see a horrific economic impact as a result of Cornell University closing."""	在康奈尔大学决定让学生在春假过后继续呆在家中，并改为进行虚拟教学后，伊萨卡市长呼吁“立即采取强有力的联邦行动——关闭康奈尔大学会给我们的经济带来难以估量的影响。”
UNESCO is sharing 10 recommendations during this period:	UNESCO is 共用 10 建議 during 這 period:	联合国教科文组织在此期间分享了10项建议：
Examine the readiness and choose the most relevant tools: Decide on the use high-technology and low-technology solutions based on the reliability of local power supplies, internet connectivity, and digital skills of teachers and students.	Examine the readiness and choose the most relevant tools: Decide on the use high-technology and low-technology solutions based on the reliability of local power supplies, internet connectivity, and digital skills of teachers and students.	检查准备情况并选择最相关的工具：根据本地电力供应的可靠性、互联网连接状况以及师生的数字化技能，决定使用技术要求较高或技术要求较低的解决方案。
This could range through integrated digital learning platforms, video lessons, MOOCs, to broadcasting through radios and TVs.	This could range through integrated digital learning platforms, video lessons, MOOCs, to broadcasting through radios and TVs.	这包括集成的数字学习平台、视频课程、MOOC，或通过无线电和电视进行广播。
Ensure inclusion of the distance learning programmes: Implement measures to ensure that students including those with disabilities or from low-income backgrounds have access to distance learning programmes, if only a limited number of them have access to digital devices.	Ensure inclusion of the distance learning programmes: Implement measures to ensure that students including those with disabilities or from low-income backgrounds have access to distance learning programmes, if only a limited number of them have access to digital devices.	确保包含远程学习课程：采取相应措施，确保让包括残障人士或来自低收入家庭的人士在内的所有学生都能接受远程学习课程，最好为有限的一部分人提供数字设备。
Consider temporarily decentralising such devices from computer labs to families and support them with internet connectivity.	考慮 暫時 decentralising such 裝置 從 電腦 labs to 家庭 還有 支援 them with 網路 connectivity.	考虑暂时将这些设备从计算机实验室取出，并分配到各个家庭中，帮助他们建立网络连接。
Protect data privacy and data security: Assess data security when uploading data or educational resources to web spaces, as well as when sharing them with other organisations or individuals.	保護 資料 隱私權 而且 資料 security: Assess 資料 security 當 uploading 資料 or 教育 資源 to 網 spaces, as well as 當 共用 them with 其他 organisations or individuals.	保护数据隐私和数据安全：将数据或教育资源上传到网络空间，以及将其与其他组织或个人分享时，对数据安全性进行评估。
Ensure that the use of applications and platforms does not violate students’ data privacy.	確保 那個 the 利用 of 申請書 和 平台 does not violate students’ 資料 privacy.	在使用应用程序和平台时，确保不会侵犯学生的数据隐私。
Prioritize solutions to address psychosocial challenges before teaching: Mobilize available tools to connect schools, parents, teachers, and students with each other.	Prioritize solutions to address psychosocial challenges before teaching: Mobilize available tools to connect schools, parents, teachers, and students with each other.	将心理问题解决方案的优先级排在教学方案之上：调动可用的工具，将学校、家长、教师和学生相互联系起来。
Create communities to ensure regular human interactions, enable social caring measures, and address possible psychosocial challenges that students may face when they are isolated.	Create communities to ensure regular human interactions, enable social caring measures, and address possible psychosocial challenges that students may face when they are isolated.	创建社区，以确保正常的人际交往、启用社会关怀措施，并解决学生在隔离时可能面临的心理问题。
Plan the study schedule of the distance learning programmes: Organise discussions with stakeholders to examine the possible duration of school closures and decide whether the distance learning programme should focus on teaching new knowledge or enhance students’ knowledge of prior lessons.	計畫 the 研究 附表 of the 距離 學 programmes: Organise 討論 with stakeholders to examine the 可能 期限 of 學校 closures 而且 decide whether the 距離 學習 方案 應該 專注 on 教書 新 知識 or enhance students’ 知識 of prior lessons.	制定远程学习课程的学习时间表：与利益相关者进行讨论，以调查学校关闭的持续时间，并决定远程学习课程是应侧重于教授新知识，还是巩固学生在以前课程中学到的知识。
Plan the schedule depending on the situation of the affected zones, level of studies, needs of students needs, and availability of parents.	計畫 the 附表 depending on the 情況 of the affected zones, 層次 of studies, 需要 of 學生 needs, 而且 可用性 of parents.	根据受影响地区的情况、学生学习水平、学生需求和家长空闲情况，制定时间表。
Choose the appropriate learning methodologies based on the status of school closures and home-based quarantines.	選擇 the 適當 學習 方法 基於 on the 現況 of 學校 closures 和 home-based quarantines.	根据学校关闭和居家隔离的状况，选择适当的学习方法。
Avoid learning methodologies that require face-to-face communication.	Avoid learning methodologies that require face-to-face communication.	避免选择需要进行面对面交流的学习方法。
Provide support to teachers and parents on the use of digital tools: Organise brief training or orientation sessions for teachers and parents as well, if monitoring and facilitation are needed.	Provide support to teachers and parents on the use of digital tools: Organise brief training or orientation sessions for teachers and parents as well, if monitoring and facilitation are needed.	为教师和家长提供有关使用数字化工具的支持：如需进行监督和激励，则为他们安排简短的培训或指导会议。
Help teachers to prepare the basic settings such as solutions to the use of internet data if they are required to provide live streaming of lessons.	幫助 教師 to prepare the 基本 設定 such as solutions to the 利用 of 網際網路 資料 if 它們 are required to 提供 直播 流 of lessons.	帮助教师准备基本设置，例如，如果要求教师进行课程直播，则帮助他们准备解决方案以使用互联网数据。
Blend appropriate approaches and limit the number of applications and platforms: Blend tools or media that are available for most students, both for synchronous communication and lessons, and for asynchronous learning.	混合 適當 approaches 還有 限制 the 數 of 申請書 還有 platforms: 混合 工具 or 媒體 那個 are 可用 for 大多 students, both for 同步 溝通 和 lessons, 和 for asynchronous learning.	结合使用多种适当的方法，并限制应用程序和平台的使用数量：结合使用对大多数学生可用的工具或媒体，用于同步通信、课程学习和异步学习。
Avoid overloading students and parents by asking them to download and test too many applications or platforms.	避免 overloading 學生 還有 父母親 by asking them to 下載 而且 測驗 太 許多 申請 or platforms.	避免增加学生和家长的负担，例如，要求他们下载和测试过多的应用程序或平台。
Develop distance learning rules and monitor students’ learning process: Define the rules with parents and students on distance learning.	Develop distance learning rules and monitor students’ learning process: Define the rules with parents and students on distance learning.	制定远程学习规则并监督学生的学习进度：与家长和学生一起制定远程学习规则。
Design formative questions, tests, or exercises to monitor closely students’ learning process.	設計 formative questions, tests, or 演習 to 監視器 closely students’ 學習 process.	设计格式化的问题、测试或练习，以密切监督学生的学习进度。
Try to use tools to support submission of students’ feedback and avoid overloading parents by requesting them to scan and send students’ feedback	試試 to 使用 工具 to 支援 提交 of students’ 反饋 還有 避免 overloading 家長 by requesting them to 掃瞄 和 送出 students’ 回饋	尝试利用工具来支持学生提交作业，避免给家长带来过重负担，例如，要求他们扫描和发送学生作业
Define the duration of distance learning units based on students’ self-regulation skills: Keep a coherent timing according to the level of the students’ self-regulation and metacognitive abilities especially for livestreaming classes.	定義 the 期限 of 距離 學 單位 基於 on students’ self-regulation skills: Keep a 連貫 timing according to the 級別 of the students’ self-regulation 而且 metacognitive abilities 尤其 for livestreaming classes.	根据学生的自我管理能力，制定远程学习单元的持续时间：根据学生的自我管理能力和元认知能力，保持连贯的时间安排，这一点在直播课程中尤为重要。
Preferably, the unit for primary school students should not be more than 20 minutes, and no longer than 40 minutes for secondary school students.	Preferably, the unit for primary school students should not be more than 20 minutes, and no longer than 40 minutes for secondary school students.	小学生的学习单元最好不要超过20分钟，中学生的学习单元最好不要超过40分钟。
Create communities and enhance connection: Create communities of teachers, parents, and school managers to address sense of loneliness or helplessness, facilitate sharing of experience and discussion on coping strategies when facing learning difficulties.	Create communities and enhance connection: Create communities of teachers, parents, and school managers to address sense of loneliness or helplessness, facilitate sharing of experience and discussion on coping strategies when facing learning difficulties.	创建社区并加强联系：创建由教师、家长和学校管理者组成的社区，以应对孤独感或无助感，鼓励大家就面对学习困境时的应对策略分享经验并开展讨论。
290 million students out of school due to COVID-19: UNESCO releases first global numbers and mobilizes response, UNESCO.	290 million students out of school due to COVID-19: UNESCO releases first global numbers and mobilizes response, UNESCO.	2.9亿学生因COVID-19而离开学校：联合国教科文组织公布了第一批全球数字并呼吁作出回应，联合国教科文组织。
Workplace hazard controls for COVID-19	workplace 危害 管制 for COVID-19	COVID-19 工作场所防控
Workplace hazard controls for COVID-19 are the application of occupational safety and health methodologies for hazard controls to the prevention of coronavirus disease 2019 (COVID-19).	Workplace hazard controls for COVID-19 are the application of occupational safety and health methodologies for hazard controls to the prevention of coronavirus disease 2019 (COVID-19).	COVID-19 工作场所防控是指采用防控危险的职业安全和健康措施预防冠状病毒疾病 2019 (COVID-19)。
The proper hazard controls in the workplace depend on the worksite and job task, based on a risk assessment of sources of exposure, disease severity in the community, and risk factors of individual workers who may be vulnerable to contracting COVID-19.	The proper hazard controls in the workplace depend on the worksite and job task, based on a risk assessment of sources of exposure, disease severity in the community, and risk factors of individual workers who may be vulnerable to contracting COVID-19.	工作场所危险防控是否妥当取决于具体工作现场和工作任务，并应基于暴露源的风险评估、社区疾病严重程度以及可能接触 COVID-19 的易感染个人的风险因素来决定。
According to the U.S. Occupational Safety and Health Administration (OSHA), lower exposure risk jobs have minimal occupational contact with the public and other coworkers, for which basic infection prevention measures are recommended, including hand washing, encouraging workers to stay home if they are sick, respiratory etiquette, and maintaining routine cleaning and disinfecting of the work environment.	According to the U.S. Occupational Safety 和 健康 Administration (OSHA), 低 暴露 風險 工作 have minimal occupational 接觸 with the 公開 還有 其他 coworkers, for which 基本 感染 預防 措施 are recommended, 包括 手 washing, 鼓勵 工人 to 留下來 住家 if 它們 are sick, respiratory etiquette, 而且 維持 常規 清洗 而且 disinfecting of the 工作 environment.	根据美国职业安全与卫生管理局 (OSHA) 的要求，低度暴露风险工作与公众和其他同事的职业接触最少，因此建议采取基本感染预防措施，其中包括勤洗手、鼓励员工患病后居家隔离、遵守呼吸礼仪以及对工作环境进行日常清洁与消毒。
Medium exposure risk jobs include those that require frequent or close contact with people who are not known or suspected with COVID-19, but may be infected due to ongoing community transmission or international travel.	中型 曝露 風險 工作 包括 那些 那個 require 經常 or 關閉 聯絡 with 人 誰 are not 已知 or 涉嫌 with COVID-19, 但是 五月 be 感染 到期 to ongoing community 傳送 or 國際 travel.	中度暴露风险工作包括需要经常或密切接触未知或疑似 COVID-19 患者的工作，这些患者可能因持续的社区传播或国际旅行而导致被感染。
This includes workers who have contact with the general public such as in schools, high-population-density work environments, and some high-volume retail settings.	This includes workers who have contact with the general public such as in schools, high-population-density work environments, and some high-volume retail settings.	包括接触普通公众的工作人员，例如学校、高人群密度工作环境和一些大规模零售环境。
Hazard controls for this group, in addition to basic infection prevention measures, include ventilation using high-efficiency air filters, sneeze guards, and having personal protective equipment available in case a person with COVID-19 is encountered.	危害 控制 for 這個 group, in addition to 基本 感染 預防 measures, 包括 通風 使用 high-efficiency 空中 filters, 打噴嚏 guards, 和 having 個人 protective 裝備 可用 in 案件 a person with COVID-19 is encountered.	除了基本的感染预防措施外，该群体还应使用高效空气过滤器和喷嚏防护装置进行通风，在接触 COVID-19 患者时穿戴个人防护设备和采取其他危险防控措施。
OSHA considers healthcare and mortuary workers exposed to known or suspected person with COVID-19 to be at high exposure risk, which increases to very high exposure risk if workers perform aerosol-generating procedures on, or collect or handle specimens from, known or suspected person with COVID-19.	OSHA considers healthcare and mortuary workers exposed to known or suspected person with COVID-19 to be at high exposure risk, which increases to very high exposure risk if workers perform aerosol-generating procedures on, or collect or handle specimens from, known or suspected person with COVID-19.	OSHA 认为接触已知或疑似 COVID-19 患者的医护人员和殓房工作人员存在高度暴露风险，如果工作人员对已知或疑似 COVID-19 患者执行了产生气溶胶的操作，或从其身上收集或处理了标本，则暴露风险变得极高。
Hazard controls appropriate for these workers include engineering controls such as negative pressure ventilation rooms, and personal protective equipment appropriate to the job task.	危害 管制 適當 for 這些 勞動者 包括 工程學 管制 such as 否定 壓力 通風 rooms, 而且 個人 protective 裝備 適當 to the 工作 task.	适用于这类人员的危险防控措施包括工程控制，如负压通风室和适合其工作任务的个人防护装备。
COVID-19 outbreaks can have several effects within the workplace.	COVID-19 outbreaks can have several 影響 within the workplace.	COVID-19 爆发可能对工作场所内产生严重影响。
Workers may be absent from work due to becoming sick, needing to care for others, or from fear of possible exposure.	Workers may be absent from work due to becoming sick, needing to care for others, or from fear of possible exposure.	工作人员可能会因生病、需要照顾他人或害怕暴露而缺勤。
Patterns of commerce may change, both in terms of what goods are demanded, and the means of acquiring these goods (such as shopping at off-peak hours or through delivery or drive-through services).	格局 of 商務 梅 change, both in 用語 of what 貨物 are demanded, 還有 the means of acquiring 這些 貨物 (such as 購物 at off-peak 小時 or 透過 遞送 or drive-through services).	商业模式也可能会有所变化，包括商品需求发生变化，或获得这些商品的途径发生变化（如在非高峰时段购物，或使用配送或免下车送货服务）。
Lastly, shipments of items from geographic areas severely affected by COVID-19 may be interrupted.An infectious disease preparedness and response plan can be used to guide protective actions.	Lastly, 裝運 of 項目 來自 地理 地區 severely affected by COVID-19 五月 be interrupted.An 傳染性 疾病 preparedness 而且 答復 計畫 can be 使用 to 指引 protective actions.	最后，来自 COVID-19 疫情严重地区的产品物流可能会中断。传染病预防与应对计划可用于指导保护行动。
Plans address the levels of risk associated with various worksites and job tasks, including sources of exposure, risk factors arising from home and community settings, and risk factors of individual workers such as old age or chronic medical conditions.	計劃 地址 the 關卡 of 風險 associated with various worksites 和 工作 tasks, 包括 來源 of exposure, 風險 factors arising 來自 首頁 而且 community settings, 和 風險 factors of 個別 勞動者 such as 老了 年齡 or 慢性 醫療 conditions.	这些计划解决了与各种工作场所和工作任务相关的风险水平，包括暴露源、来自家庭和社区环境的风险因素以及个体工作者的风险因素，如老年人或患有慢性疾病的群体。
They also outline controls necessary to address those risks, and contingency plans for situations that may arise as a result of outbreaks.	They also outline controls necessary to address those risks, and contingency plans for situations that may arise as a result of outbreaks.	这些计划还概述了应对这些风险所需的防控措施，以及针对可能因疫情爆发而出现的情况的应急计划。
Infectious disease preparedness and response plans may be subject to national or subnational recommendations.	傳染性 病 preparedness 還有 答復 計劃 五月 be 主題 to 國家 or subnational recommendations.	传染病预防与应对计划可能需要服从国家或地方的建议。
Objectives for response to an outbreak include reducing transmission among staff, protecting people who are at higher risk for adverse health complications, maintaining business operations, and minimizing adverse effects on other entities in their supply chains.	Objectives for response to an outbreak include reducing transmission among staff, protecting people who are at higher risk for adverse health complications, maintaining business operations, and minimizing adverse effects on other entities in their supply chains.	应对疫情爆发的目标包括减少员工间传播，保护不良健康并发症风险较高的人群，维持业务运营，以及最大限度减少对供应链中其他实体的不利影响。
The disease severity in the community where the business is located affects the responses taken.	The 病 severity in the community where the 商務 is 位於 affects the responses taken.	此外，应对措施还会受到企业所在社区疾病严重程度的影响。
The hierarchy of hazard controls is a framework widely used in occupational safety and health to group hazard controls by effectiveness.	The 等級 of 危害 管制 is a 框架 widely 使用 in occupational safety 還有 健康 to 群組 危害 管制 by effectiveness.	危险防控等级是职业安全和健康中广泛使用的防控框架，用于按照有效性对危险防控措施进行分组。
Where COVID-19 hazards cannot be eliminated, the most effective controls are engineering controls, followed by administrative controls, and lastly personal protective equipment.	Where COVID-19 hazards cannot be eliminated, the most effective controls are engineering controls, followed by administrative controls, and lastly personal protective equipment.	如果无法彻底消除 COVID-19 的危害，则最有效的控制措施为工程控制，其次为行政控制，最后为个人防护装备。
Engineering controls involve isolating employees from work-related hazards without relying on worker behavior, and can be the most cost-effective solution to implement.	工程學 管制 involve isolating 員工 來自 work-related 危害 without 依靠 on 工人 behavior, 而且 can be the 最多 cost-effective 溶液 to implement.	工程控制是指将员工从工作相关危险中隔离出来，而非依靠员工的行为进行控制，这也是实施成本最低的解决方案。
Administrative controls are changes in work policy or procedures that require action by the worker or employer.	Administrative controls are changes in work policy or procedures that require action by the worker or employer.	行政控制是指变更工作政策或程序，要求工作人员或雇主自行采取行动。
Personal protective equipment (PPE) is considered less effective than engineering and administrative controls, but can help prevent some exposures.	Personal protective equipment (PPE) is considered less effective than engineering and administrative controls, but can help prevent some exposures.	个人防护装备 (PPE) 的防控效果低于工程控制和行政控制，但有助于预防一些暴露。
All types of PPE must be selected based upon the hazard to the worker, properly fitted as applicable (e.g., respirators), consistently and properly worn, regularly inspected, maintained, and replaced, as necessary, and properly removed, cleaned, and stored or disposed of to avoid contamination.	全部 類型 of ppe 必須 be 選取 基於 upon the 危害 to the worker, properly fitted as 適用 (e.g., respirators), consistently 而且 properly worn, regularly inspected, maintained, 和 replaced, as necessary, 還有 properly removed, cleaned, 和 stored or disposed of to 避免 contamination.	所有类型的 PPE 均需按照工作人员所面临的危险等级进行选择，根据适用情况配备（如呼吸器），且必须始终正确佩戴，定期检查和维护，必要时要进行更换，并妥善脱卸、清洁、储存或处理以避免污染。
According to the U.S. Occupational Safety and Health Administration (OSHA), lower exposure risk jobs have minimal occupational contact with the public and other coworkers.	According to the U.S. Occupational Safety 和 健康 Administration (OSHA), 低 曝露 風險 工作 have minimal occupational 接觸 with the 公眾 和 其他 coworkers.	根据美国职业安全与健康管理局 (OSHA) 的规定，低度暴露风险工作与公众和其他同事在职业上的接触最少。
