#aaa	#aaa
#an	#eka
#cc	#cc
#ccc	#ccc
#ccf	#ccf
#cd	#cd
#cf	#cf
#cfecec	#cfecec
#content	#content
#da	#da
#daa	#daa
#dc	#dc
#dcdcdc	#dcdcdc
#ddd	#ddd
#dddddd	#dddddd
#ddf	#ddf
#de	#de
#dfdfdf	#dfdfdf
#dfe	#dfe
#dfffdf	#dfffdf
#ee	#ee
#eedd	#eedd
#eee	#eee
#eeeeee	#eeeeee
#efefef	#efefef
#faecc	#faecc
#faf	#faf
#fbf	#fbf
#fc	#fc
#fdfdfd	#fdfdfd
#ffc	#ffc
#ffcc	#ffcc
#ffd	#ffd
#ffdead	#ffdead
#ffe	#ffe
#ffebcd	#ffebcd
#ffff	#ffff
#http	#http
#https	#https
#if	#agara
#it	#it
#it	#yaha
#no	#no
#one	#eka
#this	#isa
#this	#yaha
#time	#time
#use	#use
#when	#jaba
navdeep	navadipa
naved	naveda
naveed	navida
naveen	navina
navel	nabhi
navi	navi
navid	navida
navier	neviyara
navigation	nevigeshana
navigation	samcharana
navigator	navika
navigator	nevigetara
navneet	navanita
navodaya	navodaya
navrangpur	navaramgapura
navratilova	navaratilova
navratri	navaratra
navratri	navaratri
navroz	navaroza
navy	nausena
navy	nevi
navya	navya
nawab	navaba
nawab	nawab
nawabs	navabom
nawabshah	navabashaha
nawada	navada
nawal	navala
nawalparasi	navalaparasi
nawantis	naॉvartisa
nawar	navara
nawaz	navaja
nawaz	navaza
nawazuddin	navajuddina
naxalite	naksalavada
naxalites	naksali
nay	nay
naya	naya
nayagarh	nayaga.dha
nayagarh	nayagaढ़
nayak	nayak
nayak	nayaka
nayaka	nayaka
nayan	nayana
nayanar	nayanara
nayanars	nayanamara
nayantara	nayanatara
naye	nai
nayef	nayepha
nayi	nai
naypyidaw	naepyidaॉ
nayudu	nayudu
nayyab	nayyaba
nayyar	nayyara
naz	naja
nazar	nazar
nazar	nazara
nazareth	nasarata
nazca	nazaka
nazeeba	najiba
nazeer	najira
nazi	naji
nazia	naziya
nazimuddin	nazimuddina
nazionale	nazionale
nazir	nazira
nazira	nazira
nazism	natsivada
nazrul	nazarula
nba	enabie
nbc	enabie
nbc	enabisi
nber	nber
nbp	nbp
nbr	nbr
nbs	nbs
nbsp	nbsp
ncaa	ncaa
ncb	ncb
ncc	enasisi
ncl	ncl
nco	nco
ncr	enasiara
ncr	ncr
ncsa	ncsa
nct	nct
nda	enadie
ndash	ndash
ndf	ndf
ndh	ndh
ndr	ndr
ndtv	enaditivi
near	nikata
nearby	asapasa
nearby	nikatavarti
nearest	nikatatama
nebraska	nebraska
nebula	niharika
nec	enaisi
necessary	jaruri
nechural	nechurala
neck	gala
neck	gardana
necklace	hara
necklace	nekalesa
necks	gardanom
necropolis	qabristana
necrosis	parigalana
necrotizing	necrotizing
nectar	amrrita
nectar	makaramda
neda	nida
nederlanden	nidaralaimdana
nederlands	nederlands
nederlandse	nederlandse
nee	nee
neecha	nicha
needle	sui
needless	anavashyaka
needy	jaruratamamda
needy	mohataja
neel	nila
neelabja	nilabja
neelam	nilama
neelamber	nilambara
neelantha	nilamtha
neeli	nili
neelkamal	nilakamala
neelkanta	nilakamta
neelkanth	nilakamtha
neelum	kishanagamga
neem	nima
neemmani	nilamani
neemuch	nimacha
neenth	nimda
neepa	nipa
neer	neer
neera	nira
neeraj	niraja
neeraja	niraja
neerja	niraja
neero	niro
neeson	nisana
neetu	nitu
nef	nef
nefarious	jaghanya
neg	neg
negative	nakaratmaka
negative	rrinatmaka
negativity	nakaratmakata
negeri	negeri
negev	negev
negi	negi
neglect	upeksha
neglected	upekshita
negligence	laparavahi
negotiable	parakramya
negri	negri
negro	negro
negro	nigro
neh	neha
neha	neha
nehemiah	nehamiyaha
nehra	nehara
nehru	neharu
nehwal	nehavala
neighbor	pa.dosana
neighbor	pa.dosi
neighborhood	pa.dosa
neighborhoods	pa.dosa
neighbors	pa.dosi
neighbors	pa.dosiyom
neighbour	pa.dosi
neighbours	pa.dosi
neighbours	padosi
neira	nera
nek	neka
neki	neki
nekiya	nekiya
nelco	nelko
nella	nella
nellai	nellai
nellore	nellora
nelly	nela
nelly	neli
nelson	nelsana
nelumbo	nelumbo
nem	nema
nema	nema
nematode	sutrakrrimi
nemo	nemo
nenad	nenada
nene	nene
nenets	nenets
neodimium	niyodimiyama
neodymium	niyodaimiyama
neogene	neogene
neolithic	pashanakalina
neologism	neologism
neologisms	neologisms
neon	niyaॉna
neophyte	nausikhiya
neoplasm	phulava
neoplasms	neoplasms
neoplastic	niyoplastika
neoproterozoic	neoproterozoic
nep	nep
nepa	nepa
nepal	nepala
nepal	nepalame
nepalese	nepali
nepali	nepali
nepenthes	nepenthes
nephew	bhamja
nephew	bhatija
nephew	bhatije
nephews	bhatije
nephropathy	apavrrikkata
neptune	varuna
nerd	nadra
nereid	niyarida
neri	neri
nerina	nerina
neris	nerisa
nero	niro
nerve	tamtrika
nervosa	narvoza
nervous	bechaina
nervous	ghabara
nes	enaiesa
neshnal	neshanala
nesnal	neshanala
ness	nesa
nest	ghomsala
nest	ghosala
nester	nestara
nesterov	nesterova
nestle	nesle
nestor	nestara
net	jala
net	neta
netaji	netaji
netball	netabaॉla
netbeans	netabinsa
netbook	netabuka
netbooks	netbooks
netbsd	netbsd
neterland	nidaralaimd{}sa
netflix	netaphliksa
netherlands	nidaralaimda
netherlands	nidaralaimdsa
nets	neta
netscape	netaskepa
nett	neta
network	netavarka
network	samjala
networking	netavarkimga
networks	netavarka
networks	netavarksa
networks	samjala
networth	networth
neu	neu
neue	neue
neumann	neumann
neuquén	nyukvina
neurasthenia	tamtrikadaurbalya
neurochem	nyurokema
neurology	nyurolaॉji
neuromuscular	neuromuscular
neuron	nyuraॉna
neuronal	neuronal
neurons	nyuraॉnsa
neuropathy	nyuropaithi
neuroscientists	nyurosaimtista
neurosurgeon	nyurosarjana
neurotransmitter	neurotransmitter
neuter	shikhamdi
neutral	nishpaksha
neutral	nyutrala
neutral	tatastha
neutrino	nyutrino
neutron	nyutraॉna
neutropenia	nyutropeniya
neva	neva
nevada	nevada
nevado	nevhado
nevalina	nevanalina
nevill	nevila
neville	nevili
nevis	nevisa
new	nai
new	nava
new	naya
new	nyu
new	nyukaisala
newada	nevada
newadvent	newadvent
newall	newall
newar	nevara
newark	nyurka
newberg	nyubarga
newberry	nyuberi
newbery	nyuberi
newborn	navajata
newbury	nyubari
newcastle	nyukaisala
newcombe	nyukaॉmba
newcomen	newcomen
newdigate	nyudigeta
newer	nae
newer	nai
newer	naya
newest	navinatama
newfoundland	nyufaumdalaimda
newham	newham
newjtime	nyujataima
newlines	newlines
newly	nutana
newlyweds	navavivahita
newman	nyumaina
newman	nyumena
newport	nyuporta
news	khabara
news	nyuja
news	nyuza
news	samachara
newscientist	newscientist
newsid	newsid
newsletter	nyujaletara
newspaper	akabara
newspaper	akhabara
newspaper	samacharapatra
newspapers	akhabarom
newsprint	nyujaprimta
newsweek	nyuzavika
newt	nyuta
newton	nyutana
newyork	nyuyarka
newyorker	newyorker
newzprint	nyuzaprimta
next	agala
nexus	neksasa
ney	ne
neyshnal	neshanala
neyviyoz	naiviyoza
nfa	nfa
nfc	nfc
nfd	nfd
nfl	enaephaela
nfp	nfp
nfpa	nfpa
nfsat	naphasata
nft	nft
nga	naga
nga	nga
ngari	ngari
ngc	enajisi
ngm	ngm
ngo	ngo
ngp	ngp
nguyen	guyena
nguyễn	nguyễn
nha	naha
nhews	bhaskara
nhk	enaechake
nhl	enaechaela
nhp	nhp
nhs	nhs
nhân	nhân
nia	niya
niagara	niyagra
niaid	niaid
nian	niऑna
niazi	niyazi
nib	noka
nibble	kutara
nic	nic
nicaragua	nikaragua
nicco	niko
nice	naisa
nice	nice
niche	niche
niches	takom
nicholas	nikolasa
nicholson	nikolasana
nicholson	nikolsana
nick	nika
nick	upanama
nickel	nikala
nickel	nikela
nickelodeon	nikalodiyana
nicki	niki
nicklas	nikalasa
nicklaus	nicklaus
nickname	upanama
nicksan	niksana
nico	niko
nicobar	nikobara
nicobarese	nikobari
nicola	nikola
nicolaas	nikolasa
nicolae	nicolae
nicolas	nikolasa
nicolau	nikolau
nicole	nikola
nicos	nikosa
nicosia	nikosiya
nicotiana	nicotiana
nicotine	nikotina
nida	nida
nidhi	nidhi
niece	bhamji
niece	bhatiji
niedersachsen	niedersachsen
nielsen	nielsen
nieminen	nimaina
nieto	nieto
nietzsche	nitshe
nif	nif
nigaambaat	nijamabada
nigahe	nigahem
nigam	nigama
nigel	nigela
nigella	kalaumji
niger	naijara
niger	nigara
nigeria	naijiriya
nigeria	siriyala
nigerian	naijiriyai
nighojkar	nighojakara
night	rata
night	ratri
nightjar	nightjar
nightlife	naitalaifa
nightmare	duhsvapna
nights	naitsa
nights	rate
nights	ratem
nights	ratom
nightwish	naitavisha
nigra	nigra
nigt	naita
nigt	rata
nigtingale	naitemgala
nih	nih
nihal	nihal
nihal	nihala
nihalani	nihalani
niharika	niharika
niit	enaaiaiti
nike	naika
nike	nike
niketan	niketana
nikhil	nikhila
niki	niki
nikita	nikita
nikki	nikki
niko	niko
nikolai	nikolai
nikolay	nikolaya
nikon	nikaॉna
nikon	nikon
nikosia	nikosiya
nikunj	nikumja
nil	{}nila
nilaadri	niladri
nilagan	nilamjana
nilagriva	nilagriva
nilakanta	nilakanta
nilakantha	nilakantha
nilayam	nilayama
nile	naila
niles	nailsa
nilesh	nilesha
nilgai	nilagaya
nilgai	nile
nilgai	nili
nilgiri	nilagiri
nilgiris	nilgiris
nilo	nilo
nilotic	nilota
nilotica	nilotica
nils	nilsa
nimand	nima.da
nimat	nimata
nimble	chusta
nimble	daksha
nimble	kushala
nimh	nimh
nimi	nimi
nimish	nimisha
nimo	nimo
nimruz	nimaruza
nina	nina
nine	nahala
nine	nau
nineteen	unnisa
nineteenth	unnisavim
ninety	nabbe
nineveh	ninava
ning	nimga
ningxia	nimgashiya
ninja	nimja
nino	nino
ninon	ninona
ninoy	ninaॉya
nintendo	nintemdo
ninth	navim
nio	nio
niobium	nayobiyama
niosh	niosh
nipples	laharem
nippon	nippana
nippon	nippaॉna
nira	nira
niramay	niramaya
niranjan	niramjana
nirar	nirara
nirav	nirava
nirdosh	nirdosha
nirgude	niragude़
nirmal	nirmala
nirmala	nirmala
nirubajunthur	tiruvazunthura
nirupa	nirupa
nirupama	nirupama
nirvan	nirvana
nirvana	nirvana
nis	nis
nisa	nisa
nisaan	nishana
nisal	nisala
nisanka	nissamka
nisar	nisara
nisbaat	nisbata
nisha	nisha
nishaan	nishana
nishaani	nishani
nishad	nishada
nishane	{}nishane
nishani	nishani
nishant	nishamta
nishapur	a़ttara
nishchay	nishchaya
nishi	nishi
nisi	nisi
nissan	nisana
nissan	nissana
nissin	nissina
nist	nist
nit	nit
nita	nita
nite	naita
nitin	nitin
nitin	nitina
nitish	nitisha
nitrate	naitreta
nitric	naitrika
nitride	naitraida
nitrification	naitrikarana
nitrite	naitraita
nitro	naitro
nitrocellulose	naitroseluloja
nitrogen	naitrojana
nitrogenous	naitrojanayukta
nitrous	naitrasa
nityagopal	nityagopala
nityanand	nityananda
niue	niyu
niv	niv
nivedita	nivedita
nivkh	nivka
nix	niksa
nixdorf	nixdorf
nixi	niksi
nixon	niksana
niyaas	niyasa
niyamur	niyamura
niyati	niyati
niyaz	niyaza
nizam	nijama
nizamabad	nijamabada
nizami	nizami
nizamuddin	nijamuddina
nizamuddin	nizamuddina
nizhny	nizhny
nizr	nijara
nizwa	nizava
nizzar	nizzara
nièvre	nièvre
njit	njit
njpw	njpw
nkb	nkb
nkt	nkt
nku	nku
nld	nld
nll	nll
nlm	nlm
nmda	nmda
nme	nme
nmi	nmi
nmo	shubhakamana
nmp	nmp
nmr	nmr
nms	namah
nmt	nmt
nnn	nnn
nntp	nntp
no	amavasa
no	no
noah	nuha
noam	noama
nobel	nobela
nobelium	nobeliyama
nobelprize	nobelprize
nobi	nobi
nobility	dhamom
noble	nobala
noble	pratishthita
noblesse	noblesse
noc	noc
nocat	nocat
noce	nosa
nod	aj~na
nod	hukma
nod	sammati
nodal	nodala
nodar	notara
node	noda
nodes	noda
nodule	nodule
noel	noela
nofollow	nofollow
nogai	nogai
noha	noha
noicon	noicon
noida	noeda
noinclude	noinclude
noise	rava
noise	shora
noise	shoragula
nok	nok
nokghvile	naॉkzavile
nokia	nokiya
nola	nola
nolan	nolana
nolasco	nolasko
nolte	nolte
nom	noma
noma	noma
nomad	bamjara
nomad	bamjare
nomani	nomani
nomen	nomen
nomenclature	namakarana
nominal	namamatra
nominate	manonita
nominated	manonita
nomination	namamkana
nominator	nominator
nominees	namamkita
non	gaira
non	naॉna
noncommercial	noncommercial
nondescript	avargikrrita
nondescript	vichitra
nondestructive	nondestructive
nonempty	nonempty
nonexistent	nonexistent
nong	nomga
nongkrem	naॉngakrema
noni	noni
nonlinear	araikhika
nonmetal	adhatu
nonmetals	nonmetals
nonpartisan	nonpartisan
nonpolar	nonpolar
nonsen	nanasena
nonsense	bakavasa
nonverbal	ashabdika
nonzero	nonzero
noob	ana.di
noodle	nudala
noodles	nudalsa
nook	nukka.da
noon	nuna
noor	noor
noor	nura
noora	nura
noori	nuri
nootan	natuna
nootjotin	nutazotina
nope	nahim
nope	nahimm
nopp	nopp
noprint	noprint
nora	nora
norad	norada
norah	noraha
norbert	naॉraberta
nordea	nordiya
nordiska	naॉradiska
nordrhein	nordrhein
nore	nora
norfolk	naॉrfoka
norgay	naॉrage
norge	norge
norma	norma
normal	samanya
normality	samanyata
normalized	samanyikrrita
normally	samanyatah
norman	naॉrmana
normandy	normandy
noronha	naॉronha
norra	naura
norrköping	norrköping
norrtälje	norrtälje
norse	naॉrsa
norte	norte
north	naॉrtha
north	uttara
northampton	naॉrthamptana
northamptonshire	naॉrthahaimpatanashayara
northeast	purvottara
northempton	narthaempatana
northern	uttari
northrop	northrop
northumberland	naॉrthambaralaimda
northumbria	naॉrthambriya
northwest	uttarapashchima
norto	naॉrto
norton	naॉrtana
norwagon	naॉravegana
norwalk	naॉravaॉka
norway	narve
norway	naॉrve
norwegian	naॉrvejiyai
norwich	naॉravicha
norwich	norwich
norwood	naॉrvuda
nose	naka
nosed	nosed
nostalgic	udasina
nostradamus	nastredamasa
nostrils	nathunom
nostrud	nostrud
not	na
not	nahi
not	nahim
nota	nota
notability	notability
notabilty	notabilty
notableworks	notableworks
notary	notari
notation	samketana
notch	payadana
notched	damtedara
note	naॉta
note	nota
note	vyakhya
notebook	kopi
notebook	notabuka
notebooks	notabuka
noted	vikhyata
notepad	notepad
notepad++	notapaida++
notes	nota
notes	notsa
notes	tipa
notes	tippani
noth	notha
notice	notisa
notice	suchana
noticeboard	noticeboard
notification	adhisuchana
notification	suchana
notifications	adhisuchana
notifications	suchanae.n
notifications	suchanaem
notify	suchita
notifying	thekom
notion	kyala
notions	dharanaem
notochord	notochord
notoriety	surkhi
notorious	badanama
notre	notre
notting	naॉtimga
nottingam	naॉtimgaha.cma
nottingham	nottingham
nottinghamshire	naॉtimghamashayara
noujvan	naujavana
noun	samj~na
nounihaal	naunihala
nourish	poshita
nourishes	kamda
nourishing	paushtika
nous	nous
nousher	naushara
nouveau	devanamda
nouvelle	nouvelle
nov	navambara
nov	nov
nova	nova
novak	novaka
novalis	novalisa
novamerican	novamerikana
novartis	novartis
novas	novasa
novaya	novaya
novel	anokha
novel	upanyasa
novelist	upanyasakara
novell	naॉvela
novelty	vilakshanata
november	navambara
novi	novi
novice	nausikhiya
novice	prashikshu
novices	nausikhiyom
novo	novo
novosibirsk	novosibirska
novotná	novotna
now	aba
now	abhi
nowadays	ajakala
nowiki	nowiki
nowrap	nowrap
nowruz	nauroza
nox	nox
noyyal	noyyala
no}}	no}}
npa	enapie
npd	npd
npe	npe
nph	nph
npl	npl
npov	npov
npr	npr
nps	enapiesa
npt	npt
nrbendra	nrripemdra
nrc	nrc
nrem	nrem
nrhp	nrhp
nris	apravasi
nrm	enaaraema
nrms	nrms
nrp	nrp
nrr	nrr
nrt	nrt
nrupindar	nrripimdara
nrw	nrw
nsa	enaesae
nsaid	nsaid
nsaids	nsaids
nsd	nsd
nsdap	nsdap
nse	nse
nsf	nsf
nsg	enaesaji
nsi	nsi
nsr	nsr
nss	nss
nst	nst
nsv	nsv
nsw	nsw
nsx	nsx
ntc	ntc
ntfs	ntfs
ntini	ntini
ntl	ntl
ntp	ntp
ntpc	enatipisi
ntr	enatiara
nts	nts
ntsc	ntsc
ntt	ntt
ntupdate	ntupdate
nubia	nubiya
nubra	nubra
nucifera	nucifera
nuclear	nabhikiya
nuclear	nyukliyara
nuclear	paramanu
nucleon	nyukliऑna
nucleus	kemdraka
nuclide	nuclide
nuclides	nyuklaida
nude	nagna
nude	namga
nudity	nagnata
nuer	nuera
nuestra	nuestra
nueva	nueva
nuevo	nuevo
nugget	dala
nuggets	temdarsa
nui	nui
nul	nul
null	nala
null	nirarthaka
null	rikta
nulla	nulla
num	num
numa	numa
numb	sunna
number	kramamka
number	nambara
number	samkhya
numbered	gine
numbering	kramamkana
numbers	samkhya
numbers	samkhyae.n
numeration	samkhyatmaka
numeric	amkiya
numeric	nyumerika
numerisimetaki	nyuma{}ismeta{}ika
nums	nums
nun	nana
nunc	nunc
nunkiyo	numkio
nuns	nana
nuova	nyuova
nuovo	nyuvo
nupesh	nrripesha
nur	nura
nurabad	nurabada
nurani	nurani
nurhaci	nurahachi
nuri	nuri
nuristani	nuristani
nurse	narsa
nursery	narsari
nurses	narsa
nursing	narsimga
nurul	nurula
nusa	nusa
nusrat	nusarata
nut	nata
nutan	nutana
nutcracker	natakraikara
nuthatch	nuthatch
nutmeg	jaya
nutmeg	jayaphala
nutrition	poshana
nutritious	paushtika
nuwakot	nuvakota
nux	nux
nwa	nwa
nwfp	nwfp
nwo	enadablyuo
nxp	nxp
nxt	nxt
nya	nya
nyasa	nyasa
nyc	nyc
nyco	divasa
nye	nye
nyerere	nyerere
nyi	nyi
nyika	nyaika
nyköping	nyköping
nylon	nayalaॉna
nymphs	nimpha
nypd	nypd
nys	nys
nystagmus	akshidolana
nytimes	nytimes
nyuvrsluis	nyuvarasluisa
nz$	nz$
nzdt	nzdt
nzst	nzst
n}}	aura}}
n}}	n}}
náhuatl	náhuatl
née	née
nôm	nôm
número	número
nāga	nāga
o	o
oadira	oadira
oahu	oahu
oak	oka
oakland	okalaimda
oaks	oksa
oasis	nakhalistana
oat	kasama
oath	saugamdha
oath	shapatha
oaths	qasamom
oats	jai
oats	otsa
oav	oav
oaxaca	vahaka
obaid	obaida
obama	obama
obc	obc
obc	obisi
obd	obd
obdurate	atala
obdurate	hathi
obdurate	jiddi
obdurate	sudrri.dha
obedience	aj~nakarita
obedient	aj~nakari
obeisance	abhivadana
obeisance	namana
obeisance	pranama
obeisance	sajada
obeisance	shraddha
obelisk	obelisk
oberoi	oberaॉya
oberon	oberon
obese	motape
obese	mote
obesity	motapa
obispo	obispo
obj	obj
object	vastu
object	ऑbjekta
objecting	aitaraja
objection	apatti
objections	apatti
objective	uddeshya
objectives	uddeshya
objects	vastu
objects	vastue.n
objects	ऑbjekta
objects	ऑbjektsa
oblast	oblasta
oblesh	obalesha
obligation	dayitva
obligations	dayitvom
obligatory	anivarya
oblique	apratyaksha
oblique	tiracha
oblivion	bhula
oblivious	bekabara
oblongata	oblongata
obnoxious	apriya
obra	obara
obras	obras
obscure	aspashta
obscurity	amdhakara
obscurity	aspashtata
obscurity	gumanami
observation	avalokana
observatory	vedhashala
observer	nirikshaka
observer	sarvara
obsessive	jununi
obsidian	obsidian
obstacle	badha
obstacles	badhaem
obstacles	badhaom
obstacles	rukavatem
obstetric	obstetric
obstinacy	duragraha
obstruction	rukavata
obtained	prapta
obturator	obturator
obtuse	buddhu
obuya	obuya
obviate	rasayanika
obvious	pratyaksha
obvious	spashta
obyashii	obayashi
oca	oca
occ	occ
occaecat	occaecat
occam	occam
occasion	avasara
occasions	avasarom
occidentalis	occidentalis
occipital	occipital
occult	occult
occured	hua
occurrences	avrritti
ocd	osidi
ocean	mahasagara
ocean	oshana
ocean	samamdara
oceania	mahasagariya
oceania	oshiniya
oceanographic	oceanographic
oceans	mahasagara
ocellated	ocellated
ocellatus	ocellatus
ocelot	ऑselaॉta
ochi	ochi
ocimum	ocimum
ocinsoutput	ocinsoutput
ocl	ocl
ocr	osiara
oct	aktubara
octagon	ashtakona
octahedral	octahedral
octal	ऑktala
octane	ऑktena
octave	ashtaka
octavia	octavia
octavio	oktavio
october	aktubara
octopus	ashtabhuja
octopus	ऑktopasa
ocular	ocular
oda	oda
odd	vishama
oddities	oddities
oddity	oddity
odds	halata
ode	ode
odelia	odelia
odenberg	ऑdenabarga
odense	odinse
odeon	odiyana
odessa	odesa
odi	ekadivasiya
odi	odi
odia	udiya
odidebutagainst	odidebutagainst
odidebutdate	odidebutdate
odin	odina
odisha	odisha
odissi	o.disi
odissi	odisi
odiya	o.diya
odometer	odomitara
odor	gamdha
odorata	odorata
odorless	gamdhahina
odour	ऑdara
odp	odp
ods	ods
odyssey	bhramana
odyssey	odisi
oecd	oecd
oed	oed
oedema	oedema
oedipus	idipasa
oeis	oeis
oem	oem
oems	oems
oersted	oersted
oesophagus	oesophagus
of	ka
of	ki
of	se
of	ऑfa
of	ऑpha
ofdm	ofdm
off	bamda
off	banda
off	dura
off	ऑfa
off	ऑpha
offence	aparadha
offended	aprasanna
offender	aparadhi
offenders	aparadhiyom
offenpest	ऑphenapesta
offense	thokara
offensive	apattijanaka
offensive	apriya
offensive	ophemsiva
offer	prastava
offer	ऑphara
offf	ऑpha
office	aphisa
office	daphtara
office	karyalaya
office	ऑfisa
office	ऑphisa
officeholder	officeholder
officer	adhikari
officers	adhikari
officers	adhikariyom
offices	karyalaya
offices	karyalayom
officia	officia
official	adhikari
official	adhikarika
official	sarakari
officinale	officinale
officinalis	officinalis
offirah	aphiraha
offline	ऑfalaina
offline	ऑphalaina
offset	ऑphaseta
offsetting	kamaniyom
offshoot	prashakha
offshoot	shakha
offshoring	offshoring
offspring	aulada
offspring	samtana
offspring	samtati
off}}	off}}
ofhficer	adhikari
oficial	oficial
often	akasara
often	aksara
often	prayah
ogc	ogc
ogden	ogdena
oge	oja
ogg	ogg
oghuz	oguza
ogo	yogo
oh	o
ohio	ohiyo
ohm	oma
ohv	ohv
oh−	oh−
oil	ayala
oil	tela
oil	ऑila
oil	ऑyala
oilers	ऑilarsa
oily	tailiya
ointment	marahama
oirat	oirata
ojarkhed	ozarakheda
ojas	ojasa
ojha	ojha
ojibwa	ojibva
oka	oka
okada	okada
okapi	okapi
okavango	okavamgo
okay	thika
okha	okha
okhla	okhala
oki	oki
okinawa	okinava
okker	okara
oklahoma	oklahoma
oklohoma	oklahoma
okra	bhimdi
okrug	okruga
ola	ola
olav	olava
old	bu.dha
old	olda
old	purana
old	purane
old	purani
old	vrriddha
older	purana
older	purane
older	purani
older	vrriddha
oldid	oldid
oldies	bu.dhe
ole	ole
olefin	olefin
oleg	oleg
oleksandr	olekjemdara
oleracea	oleracea
olesia	olesiya
olfactory	ghrana
olga	olga
oli	oli
oligarchy	alpatamtra
oligocene	oligocene
olimpico	ऑlimpiko
olive	jaituna
olive	zaituna
oliver	olivara
oliver	ऑlivara
olivia	oliviya
olivine	olivaina
oliviya	oliviya
ollie	oli
olmec	olmec
olof	olopha
olpc	olpc
ols	ols
olson	olsana
olvay	ऑlve
oly	oly
olympia	olampiya
olympiad	olampiyada
olympian	olampiyana
olympic	olampika
olympic	olimpika
olympics	olampika
olympics	olampiksa
olympicsresult	olympicsresult
olympus	olampasa
oma	omo
omaar	omara
omaha	omaha
oman	omana
omani	omani
omap	omap
omaprakaash	omaprakasha
omar	omara
omar	umara
omega	omega
omelette	amaleta
omeli	omeli
omen	shakuna
omens	shakuna
omens	shakunom
omeshwar	omeshvara
omg	omg
omika	umika
omim	omim
omit	omit
omits	omits
omkar	omkara
omkarprit	omkaraprita
omniglot	omniglot
omniscient	sarvaj~na
omnivore	sarvahari
omprakash	omaprakasha
omsk	omska
on	para
on	ऑna
ona	ona
onam	onama
onassis	onasi{}sa
onc	onc
once	ekabara
oncology	ऑnkolaॉji
onder	ऑdara
one	eka
one	vana
one,	eka,
onega	unega
onerous	dushkara
onex	ऑneksa
ong	omga
ongc	ongc
ongoing	jari
ongole	omgola
onion	pyaja
onion	pyaza
onions	pyaja
onkareshvr	omkareshavara
online	ऑnalaina
only	kevala
only	onali
only	pyari
only	sirpha
only	tabhi
only}}	only}}
onnes	ऑnsa
ono	ono
onomatopoeia	svananukaranatmaka
onsite	ऑnasaita
ont	ont
ontario	omtariyo
ontario	ऑntara{}iyo
ontology	sattamimamsa
ontong	omtaॉnga
ontong	ontong
onyx	gomeda
on}}	para}}
ooaamara	oamara
oof	ऑpha
ooh	o
ooh	uha
ooman	omana
oomananda	omananda
oommen	ummana
oooh	uha
oops	oha
oops	ufa
oor	ura
oort	aurta
ooty	uti
opacity	aparadarshita
opacity	aspashtata
opal	opala
opaque	aparadarshi
opatha	opatha
ope	opi
opec	opeka
open	kholem
open	khula
open	opana
opened	khola
opened	kholi
opener	opanara
opening	kholane
opening	opanimga
openings	udghatana
openly	khulakara
openness	khulepana
opentheme	opentheme
opentype	opentype
opera	opera
operant	karagara
operant	sakriya
operant	utpadaka
operated	samchalita
operating	prachalana
operating	ऑparetimga
operation	apareshana
operation	samchalana
operation	ऑpareshana
operationally	samkriyaom
operations	parichalana
operations	samchalana
operator	aparetara
operator	ऑparetara
operators	ऑparetara
oph	oph
ophthalmological	ophthalmological
opinion	raya
opinions	raya
opioids	opioids
opium	aphima
oppenheimer	openahaimara
opponent	pratidvamdvi
opponent	pratidvandi
opponents	pratidvamdvi
opponents	pratidvamdviyom
opponents	virodhiyom
opportunist	avasaravadi
opportunities	avasara
opportunity	avasara
opposite	viparita
opposites	virodhi
opposition	vipaksha
opposition	virodha
oppressed	dalita
oppression	damana
oppressive	damanakari
oppressor	shoshaka
oprah	opara
ops	ops
opt	ऑpta
optic	ऑptika
optical	ऑptikala
optics	prakashiki
optimal	ishtatama
optimism	ashavada
optimistic	ashavadi
optimization	enimeshana
optimized	anukulita
optimus	ऑptimasa
option	vikalpa
optional	vaikalpika
options	phamkshansa
options	vikalpa
opto	opto
opto	ऑpto
ora	òra
oracle	daivi
oracle	daiviya
oracle	orekala
oral	maukhika
oral	ऑrala
oram	uramva
orange	naramgi
orange	samtara
oranges	samtare
orange}}	orange}}
orangutan	oramgautana
orat	aurata
orathuppalayam	ऑrathuppalayama
oratory	chaye
orava	orava
orb	orb
orbicularis	orbicularis
orbit	kaksha
orbital	kakshiya
orbitals	orbitals
orchard	baga
orchards	baga
orchestra	ऑrkestra
orci	orci
orcid	orcid
ord	ord
order	adesha
order	anukrama
order	krama
order	ऑdara
order	ऑrdara
orders	adesha
orders	ऑrdara
ordinance	adhyadesha
ordinarily	sadharanataya
ordination	samanvaya
ordnance	ayudha
ordo	ordo
ordovician	ordovician
ordre	ordre
ore	ayaska
oregon	oregana
oregon	ऑregaॉna
oreliya	ऑreliya
ores	ores
orf	orf
org	org
organ	amga
organelle	koshikamga
organic	jaivika
organic	karbanika
organic	sashulka
organically	amgika
organisation	samgathana
organisations	samgathanom
organised	samgathita
organisers	ayojakom
organism	jiva
organism	sajiva
organisms	jivom
organización	organización
organization	samgathana
organizations	samgathana
organize	vyavasthita
organized	samgathita
organized	vyavasthita
organizer	ayojaka
organizers	ayojakom
organizing	ayojana
organometallic	karbadhatuka
organs	amgom
orhan	orahana
oriaana	oriana
orient	prachi
oriental	oriemtala
oriental	prachya
orientales	orientales
orientation	abhivinyasa
orientation	disha
oriented	unmukha
orig	orig
origargs	origargs
origin	mula
